traj_cluster_ra,no2_5y_z,pm25_5y_z,age_years,sex_category,race_category,admit_year,charlson_score,advanced_cancer_any_poa,pred_prob
4,-1.2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.44880890633418274
4,-1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4557037088432124
4,-1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.46261553269884853
4,-0.8999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4695417546463032
4,-0.7999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4764797293185739
4,-0.7,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.48342679324788135
4,-0.5999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4903802689361321
4,-0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.4973374689713722
4,-0.3999999999999999,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5042957001767381
4,-0.2999999999999998,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.511252267778429
4,-0.19999999999999996,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5182044795788607
4,-0.09999999999999987,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5251496501213897
4,0,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5320851048328407
4,0.10000000000000009,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5390081841304001
4,0.20000000000000018,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5459162474793844
4,0.30000000000000027,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5528066773888721
4,0.40000000000000036,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5596768833325286
4,0.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5665243055821768
4,0.6000000000000001,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5733464189423898
4,0.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.580140736374732
4,0.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.586904812501066
4,0.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.5936362469757483
4,1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6003326877174782
4,1.1,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6069918339921178
4,1.2000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6136114393387618
4,1.3000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6201893143318942
4,1.4000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6267233291735417
4,1.5,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.633211416109991
4,1.6,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6396515716686685
4,1.7000000000000002,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6460418587114187
4,1.8000000000000003,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6523804083014543
4,1.9000000000000004,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6586654213820989
4,2,0,68.57518022657055,Male,White,2021,7.500514933058702,FALSE,0.6648951702661046
