site_name,stratum,pooled_cluster_label,variable,level,summary_type,n,denom,prop,pooled_cluster
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,malignant_pleural_effusion_poa,0,categorical,19355,19824,0.9763418079096046,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,malignant_pleural_effusion_poa,1,categorical,469,19824,0.02365819209039548,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,metastatic_cancer_poa,0,categorical,18349,19824,0.9255952380952381,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,metastatic_cancer_poa,1,categorical,1475,19824,0.0744047619047619,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,American Indian or Alaska Native,categorical,110,18257,0.00602508626828066,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,Asian,categorical,1013,19824,0.05109967715899919,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,Black or African American,categorical,6291,19824,0.31734261501210653,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,Native Hawaiian or Other Pacific Islander,categorical,52,15628,0.0033273611466598414,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,Other,categorical,876,19824,0.04418886198547216,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,Unknown,categorical,1207,19824,0.060885794995964485,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,race_category,White,categorical,10275,19824,0.5183111380145279,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,severity_rank,4,categorical,9390,9390,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,severity_rank,5,categorical,10434,10434,1,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sex_category,Female,categorical,8677,19824,0.43770177562550444,4
pooled,4,Cluster 4: Invasive ventilation / Predominantly no ARF,sex_category,Male,categorical,11146,19824,0.5622477804681194,4
